,,,,,,,MEN DENIM SIZE CURVE,28,29,30,31,32,33,34,36,38,40,42,,
,,,,,,,WOMEN DENIM SIZE CURVE,24,25,26,27,28,29,30,31,32,33,34,,
,,,,,,,TOPS SIZE CURVE,XS,S,M,L,XL,2XL,3XL,4XL,,,,,
REF,Supplier Code,Gender,COLOUR,Description,Wholesale Price,Recommended Retail Price,Category,,,,,,,,,,,,Total Units,Total Value
TR27,109240 4610,MEN,BLUE,True Religion Big T Slub Zip Up Hoodie Medieval Blue,"R1,651.74","R3,799.00",Hoodies And Sweaters,,4,4,4,4,3,2,,,,,21,"R34,686.52"
TR28,109243 1001,MEN,BLACK,True Religion Cinched Applique Pullover Hood Jet Black,"R1,260.43","R2,899.00",Hoodies And Sweaters,,4,4,4,4,3,2,,,,,21,"R26,469.13"
TR29,109243 6499,MEN,LAVA,True Religion Cinched Applique Pullover Hood Molten Lava,"R1,260.43","R2,899.00",Hoodies And Sweaters,,4,4,4,4,3,2,,,,,21,"R26,469.13"
TR30,109263 1001,MEN,BLACK,True Religion Long Sweatshorts Jet Black,R869.13,"R1,999.00",Shorts,,4,4,4,4,3,1,,,,,20,"R17,382.61"
TR31,109263 2701,MEN, TRAVERTINE,True Religion Long Sweatshorts Travertine,R869.13,"R1,999.00",Shorts,,4,4,4,4,3,1,,,,,20,"R17,382.61"
TR32,109277 1001,MEN,BLACK,True Religion Oversized Ss Mesh Polo Jet Black,R869.13,"R1,999.00",Golfers,,4,4,4,4,2,1,,,,,19,"R16,513.48"
TR33,109277 4610,MEN,BLUE,True Religion Oversized Ss Mesh Polo Medieval Blue,R869.13,"R1,999.00",Golfers,,4,4,4,4,2,1,,,,,19,"R16,513.48"
TR34,109279 1001,MEN,BLACK,True Religion Mesh Basketball Short Black,R869.13,"R1,999.00",Shorts,,3,3,3,3,2,,,,,,14,"R12,167.83"
TR35,109279 4610,MEN,BLUE,True Religion Mesh Basketball Short Medieval Blue,R869.13,"R1,999.00",Shorts,,3,3,3,3,2,,,,,,14,"R12,167.83"
TR36,109285 1001,MEN,BLACK,True Religion Ss Puff Stitch Tee Jet Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,3,2,,,,,27,"R16,423.04"
TR37,109285 1501,MEN,GREY,True Religion Ss Puff Stitch Tee Heather Grey,R608.26,"R1,399.00",T-Shirts,,3,3,3,3,2,1,,,,,15,"R9,123.91"
TR38,109285 1700,MEN,WHITE,True Religion Ss Puff Stitch Tee Optic White,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,3,2,,,,,27,"R16,423.04"
TR39,109288 1001,MEN,BLACK,True Religion Ss Buddha Face Flock Tee Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,3,2,,,,,27,"R16,423.04"
TR40,109288 1700,MEN,WHITE,True Religion Ss Buddha Face Flock Tee Optic White,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,3,2,,,,,27,"R16,423.04"
TR41,109288 2701,MEN,TRAVERTINE,True Religion Ss Buddha Face Flock Tee Travertine,R608.26,"R1,399.00",T-Shirts,,3,3,3,3,2,1,,,,,15,"R9,123.91"
TR42,109289 1001,MEN,BLACK,True Religion Ss Rock N Roll Tee Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,3,2,,,,,27,"R16,423.04"
TR43,109289 1999,MEN,WHITE,True Religion Ss Rock N Roll Tee White Top,R608.26,"R1,399.00",T-Shirts,2,4,4,4,4,3,2,,,,,23,"R13,990.00"
TR44,109289 6499,MEN,LAVA,True Religion Ss Rock N Roll Tee Molten Lava,R608.26,"R1,399.00",T-Shirts,2,4,4,4,4,3,2,,,,,23,"R13,990.00"
TR45,109292 1001,MEN,BLACK,True Religion Ss Embro Arch Logo Tee Jet Black,R695.22,"R1,599.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R19,466.09"
TR46,109292 1238,MEN,GREY,True Religion Ss Embro Arch Logo Tee Quiet Grey,R695.22,"R1,599.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R19,466.09"
TR47,109292 6909,MEN,RED,True Religion Ss Embro Arch Logo Tee Trv Red,R695.22,"R1,599.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R19,466.09"
TR48,109308 1001,MEN,BLACK,True Religion Applique Sweatshorts Jet Black,R869.13,"R1,999.00",Shorts,,4,4,4,4,3,2,,,,,21,"R18,251.74"
TR49,109308 6499,MEN,LAVA,True Religion Applique Sweatshorts Molten Lava,R869.13,"R1,999.00",Shorts,,4,4,4,4,3,2,,,,,21,"R18,251.74"
TR50,109464 IYBM,MEN,MEDIUM WASH,True Religion True Oversized Super T Jacket Medium Wash,"R2,130.00","R4,899.00",Jackets,,5,5,5,5,3,2,,,,,25,"R53,250.00"
TR51,109479 1001,MEN,BLACK,True Religion Script Cinched Sweatshirt Jet Black,"R1,130.00","R2,599.00",Hoodies And Sweaters,,3,4,2,4,3,2,,,,,18,"R20,340.00"
